adduser	3.118ubuntu5
apt	2.4.14
base-files	12ubuntu4.7
base-passwd	3.5.52build1
bash	5.1-6ubuntu1.1
bsdutils	1:2.37.2-4ubuntu3.5
ca-certificates	20240203~22.04.1
catch2	2.13.8-1
cmake	3.22.1-1ubuntu1.22.04.2
cmake-data	3.22.1-1ubuntu1.22.04.2
coreutils	8.32-4.1ubuntu1.3
cppcheck	2.7-1
curl	7.81.0-1ubuntu1.24
dash	0.5.11+git20210903+057cd650a4ed-3build1
debconf	1.5.79ubuntu1
debianutils	5.5-1ubuntu2
dh-elpa-helper	2.0.9ubuntu1
diffutils	1:3.8-0ubuntu2
dirmngr	2.2.27-3ubuntu2.5
distro-info-data	0.52ubuntu0.12
docutils-common	0.17.1+dfsg-2
dpkg	1.21.1ubuntu2.6
e2fsprogs	1.46.5-2ubuntu1.2
emacsen-common	3.0.4
findutils	4.8.0-1ubuntu3
gcc-12-base:amd64	12.3.0-1ubuntu1~22.04.3
gnupg	2.2.27-3ubuntu2.5
gnupg-l10n	2.2.27-3ubuntu2.5
gnupg-utils	2.2.27-3ubuntu2.5
gnupg2	2.2.27-3ubuntu2.5
google-mock:amd64	1.11.0-3
googletest	1.11.0-3
gpg	2.2.27-3ubuntu2.5
gpg-agent	2.2.27-3ubuntu2.5
gpg-wks-client	2.2.27-3ubuntu2.5
gpg-wks-server	2.2.27-3ubuntu2.5
gpgconf	2.2.27-3ubuntu2.5
gpgsm	2.2.27-3ubuntu2.5
gpgv	2.2.27-3ubuntu2.5
grep	3.7-1build1
gzip	1.10-4ubuntu4.1
hostname	3.23ubuntu2
init-system-helpers	1.62
libacl1:amd64	2.3.1-1
libapt-pkg6.0:amd64	2.4.14
libarchive13:amd64	3.6.0-1ubuntu1.6
libassuan0:amd64	2.5.5-1build1
libatomic1:amd64	12.3.0-1ubuntu1~22.04.3
libattr1:amd64	1:2.5.1-1build1
libaudit-common	1:3.0.7-1build1
libaudit1:amd64	1:3.0.7-1build1
libblas3:amd64	3.10.0-2ubuntu1
libblkid1:amd64	2.37.2-4ubuntu3.5
libbrotli1:amd64	1.0.9-2build6
libbz2-1.0:amd64	1.0.8-5build1
libc-bin	2.35-0ubuntu3.13
libc-dev-bin	2.35-0ubuntu3.13
libc6:amd64	2.35-0ubuntu3.13
libc6-dev:amd64	2.35-0ubuntu3.13
libcap-ng0:amd64	0.7.9-2.2build3
libcap2:amd64	1:2.44-1ubuntu0.22.04.3
libcom-err2:amd64	1.46.5-2ubuntu1.2
libconsole-bridge-dev:amd64	1.0.1+dfsg2-3
libconsole-bridge1.0:amd64	1.0.1+dfsg2-3
libcrypt-dev:amd64	1:4.4.27-1
libcrypt1:amd64	1:4.4.27-1
libcurl4:amd64	7.81.0-1ubuntu1.24
libdb5.3:amd64	5.3.28+dfsg1-0.8ubuntu3
libdebconfclient0:amd64	0.261ubuntu1
libexpat1:amd64	2.4.7-1ubuntu0.7
libexpat1-dev:amd64	2.4.7-1ubuntu0.7
libext2fs2:amd64	1.46.5-2ubuntu1.2
libffi8:amd64	3.4.2-4
libfmt-dev:amd64	8.1.1+ds1-2
libfmt8:amd64	8.1.1+ds1-2
libgcc-s1:amd64	12.3.0-1ubuntu1~22.04.3
libgcrypt20:amd64	1.9.4-3ubuntu3
libgfortran5:amd64	12.3.0-1ubuntu1~22.04.3
libgmp10:amd64	2:6.2.1+dfsg-3ubuntu1
libgnutls30:amd64	3.7.3-4ubuntu1.8
libgpg-error0:amd64	1.43-3
libgssapi-krb5-2:amd64	1.19.2-2ubuntu0.7
libgtest-dev:amd64	1.11.0-3
libhogweed6:amd64	3.7.3-1build2
libicu70:amd64	70.1-2
libidn2-0:amd64	2.3.2-2build1
libjs-jquery	3.6.0+dfsg+~3.5.13-1
libjs-sphinxdoc	4.3.2-1
libjs-underscore	1.13.2~dfsg-2
libjsoncpp25:amd64	1.9.5-3
libk5crypto3:amd64	1.19.2-2ubuntu0.7
libkeyutils1:amd64	1.6.1-2ubuntu3
libkrb5-3:amd64	1.19.2-2ubuntu0.7
libkrb5support0:amd64	1.19.2-2ubuntu0.7
libksba8:amd64	1.6.0-2ubuntu0.2
liblapack3:amd64	3.10.0-2ubuntu1
libldap-2.5-0:amd64	2.5.20+dfsg-0ubuntu0.22.04.1
liblz4-1:amd64	1.9.3-2build2
liblzma5:amd64	5.2.5-2ubuntu1
libmount1:amd64	2.37.2-4ubuntu3.5
libmpdec3:amd64	2.5.1-2build2
libncurses6:amd64	6.3-2ubuntu0.1
libncursesw6:amd64	6.3-2ubuntu0.1
libnettle8:amd64	3.7.3-1build2
libnghttp2-14:amd64	1.43.0-1ubuntu0.3
libnpth0:amd64	1.6-3build2
libnsl-dev:amd64	1.3.0-2build2
libnsl2:amd64	1.3.0-2build2
libp11-kit0:amd64	0.24.0-6build1
libpam-modules:amd64	1.4.0-11ubuntu2.6
libpam-modules-bin	1.4.0-11ubuntu2.6
libpam-runtime	1.4.0-11ubuntu2.6
libpam0g:amd64	1.4.0-11ubuntu2.6
libpcre2-8-0:amd64	10.39-3ubuntu0.1
libpcre3:amd64	2:8.39-13ubuntu0.22.04.1
libprocps8:amd64	2:3.3.17-6ubuntu2.1
libpsl5:amd64	0.21.0-1.2build2
libpython3-dev:amd64	3.10.6-1~22.04.1
libpython3-stdlib:amd64	3.10.6-1~22.04.1
libpython3.10:amd64	3.10.12-1~22.04.15
libpython3.10-dev:amd64	3.10.12-1~22.04.15
libpython3.10-minimal:amd64	3.10.12-1~22.04.15
libpython3.10-stdlib:amd64	3.10.12-1~22.04.15
libquadmath0:amd64	12.3.0-1ubuntu1~22.04.3
libreadline8:amd64	8.1.2-1
librhash0:amd64	1.4.2-1ubuntu1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build4
libsasl2-2:amd64	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules-db:amd64	2.1.27+dfsg2-3ubuntu1.2
libseccomp2:amd64	2.5.3-2ubuntu3~22.04.1
libselinux1:amd64	3.3-1build2
libsemanage-common	3.3-1build2
libsemanage2:amd64	3.3-1build2
libsepol2:amd64	3.3-1build1
libsmartcols1:amd64	2.37.2-4ubuntu3.5
libspdlog-dev:amd64	1:1.9.2+ds-0.2
libspdlog1:amd64	1:1.9.2+ds-0.2
libsqlite3-0:amd64	3.37.2-2ubuntu0.5
libss2:amd64	1.46.5-2ubuntu1.2
libssh-4:amd64	0.9.6-2ubuntu0.22.04.7
libssl-dev:amd64	3.0.2-0ubuntu1.23
libssl3:amd64	3.0.2-0ubuntu1.23
libstdc++6:amd64	12.3.0-1ubuntu1~22.04.3
libsystemd0:amd64	249.11-0ubuntu3.20
libtasn1-6:amd64	4.18.0-4ubuntu0.2
libtinfo6:amd64	6.3-2ubuntu0.1
libtinyxml2-9:amd64	9.0.0+dfsg-3
libtinyxml2-dev:amd64	9.0.0+dfsg-3
libtirpc-common	1.3.2-2ubuntu0.1
libtirpc-dev:amd64	1.3.2-2ubuntu0.1
